address,roomtype,availability,description,female,male,rent,locality,image,promoted
#9264 | Western Avenue,3 Bed • 1 Bath,Available March 1,"A great affordable option! With its huge living room, this apartment has space to match its awesome location.",1,2,"$1,445.00",Cambridge,https://d1zoucz635ct8o.cloudfront.net/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBa0lQIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--d19c2a46bb217b4c7786af0d99c7a721943892ef/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2QzNKbGMybDZaVWtpRERRd01IZ3pNREFHT3daRyIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--c8f187c2e96ff4eb60d8eb2d80d671ff8d1f0bf2/719134_ec7856ed091640f4aa9f9bee5b9a6fd5~mv2.png,
#3726 | Eastman Street,3 Bed • 1 Bath,Available January 11,"This is a great, affordable apartment in Dorchester with the added bonus of in unit laundry and parking!",1,1,$995.00,Dorchester,https://d1zoucz635ct8o.cloudfront.net/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBc2dRIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--461082cb58f16d91fd5422b84aa9857bfe9a26de/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lKYW5CbFp3WTZCa1ZVT2d0eVpYTnBlbVZKSWd3ME1EQjRNekF3QmpzR1JnPT0iLCJleHAiOm51bGwsInB1ciI6InZhcmlhdGlvbiJ9fQ==--e31e37acfea0345fb699a4ddf840ed4210ecd203/719134_4b34fd4fb9864b06a105a0c431409ba1~mv2.jpeg,Promotion
#3593 | Maryland Street,4 Bed • 1.5 Bath,Available Now,Quiet apartment in a convenient Dorchester location!,1,2,$995.00,Dorchester,https://d1zoucz635ct8o.cloudfront.net/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdDlPIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--927575c7268cb5b6f65fe47156f09a053fcd62a3/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJYW5CbkJqb0dSVlE2QzNKbGMybDZaVWtpRERRd01IZ3pNREFHT3daRyIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--3ddff42dafd83cf17095a32f855012b09f04ca93/24-Maryland-Street-Unit-2-Kitchen.jpg,
#2557 | Maryland Street,4 Bed • 1.5 Bath,Available June 1,Quiet apartment in a convenient Dorchester location!,1,1,"$1,170.00",Dorchester,https://d1zoucz635ct8o.cloudfront.net/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZ3hWIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--79da0a5842f5afd6805d743a1097b658e7fc6f9a/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJYW5CbkJqb0dSVlE2QzNKbGMybDZaVWtpRERRd01IZ3pNREFHT3daRyIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--3ddff42dafd83cf17095a32f855012b09f04ca93/24-Maryland-Street-Unit-2-Kitchen.jpg,
#4268 | Sachem Street,4 Bed • 1 Bath,Available March 1,"Located in Mission Hill, this apartment is great for Northeastern students or someone wanting an easy commute into the city",0,4,"$1,295.00",Mission Hill,https://d1zoucz635ct8o.cloudfront.net/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBb2cwIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--fdbbf2a9f1af0cd7e002a046fcd2aa8f36dc2074/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2QzNKbGMybDZaVWtpRERRd01IZ3pNREFHT3daRyIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--c8f187c2e96ff4eb60d8eb2d80d671ff8d1f0bf2/Living%20Room.png,
#3055 | Norfolk Street,5 Bed • 2 Bath,Available June 1,Located just 10 minutes away from Central Square giving you a cozy feeling with a lovely outdoor space!,4,0,"$1,245.00",Cambridge,https://d1zoucz635ct8o.cloudfront.net/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcTB3IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--d004728f76997e69348d6a19d18269b219543ce8/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJYW5CbkJqb0dSVlE2QzNKbGMybDZaVWtpRERRd01IZ3pNREFHT3daRyIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--3ddff42dafd83cf17095a32f855012b09f04ca93/231-Norfolk-St-Unit-4-Kitchen.jpg,
#9629 | Romsey Street,4 Bed • 2 Bath,Available Now,"Convenient Dorchester location, large apartment with two recently updated full bathrooms!",0,3,$995.00,Dorchester,https://d1zoucz635ct8o.cloudfront.net/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbHhLIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--0c7d676a584356f85b4503937182be4eaf5b5c6d/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJYW5CbkJqb0dSVlE2QzNKbGMybDZaVWtpRERRd01IZ3pNREFHT3daRyIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--3ddff42dafd83cf17095a32f855012b09f04ca93/54W62e3b759f0454.jpg,Promotion
#7369 | Roseclair Street,3 Bed • 1 Bath,Available Now,"This Dorchester apartment features an enclosed porch and a huge backyard, making outdoor hangouts a breeze!",1,1,$995.00,Dorchester,https://d1zoucz635ct8o.cloudfront.net/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaUVKIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--6b456d62f22733bfb1889f4c5617767922b4904a/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lKYW5CbFp3WTZCa1ZVT2d0eVpYTnBlbVZKSWd3ME1EQjRNekF3QmpzR1JnPT0iLCJleHAiOm51bGwsInB1ciI6InZhcmlhdGlvbiJ9fQ==--e31e37acfea0345fb699a4ddf840ed4210ecd203/719134_992c394c52504fa5b813dcf6d58d6bda~mv2.jpeg,Promotion
#4349 | Columbia Street,4 Bed • 1 Bath,Available February 1,"Beautiful, spacious Central Square apartment just blocks away from spots like Lord Hobo and Lamplighter!",0,3,"$1,195.00",Cambridge,https://d1zoucz635ct8o.cloudfront.net/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBajBHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--013e0a240eda9f1e3768c1d403299a3a50a86ba9/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2QzNKbGMybDZaVWtpRERRd01IZ3pNREFHT3daRyIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--c8f187c2e96ff4eb60d8eb2d80d671ff8d1f0bf2/d0f73d_0c5640fbcbad4bfb848f49a94aecb83c~mv2.png,
#6375 | Harvard Street,4 Bed • 1 Bath,Available September 1,"Blocks from Central Square with an easy walk to Harvard or MIT, and a super quick commute into the city.",1,3,"$1,295.00",Cambridge,https://d1zoucz635ct8o.cloudfront.net/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBandFIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--47888c4dfdf90a840860f8c5563da314e84949df/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lKYW5CbFp3WTZCa1ZVT2d0eVpYTnBlbVZKSWd3ME1EQjRNekF3QmpzR1JnPT0iLCJleHAiOm51bGwsInB1ciI6InZhcmlhdGlvbiJ9fQ==--e31e37acfea0345fb699a4ddf840ed4210ecd203/719134_ddf6fb549952444c93b447f27cc2bbcb~mv2.jpeg,
