address,roomtype,availability,description,female,male,rent,locality,image,promoted
Magnificient Room In Brighton,1 room 1 room,Available Now,"Furnished or Unfurnished Queen room in Brighton 4 bedroom, 2 bathroom apartment. [ AVAILABLE STARTING Dec. 1, 2022 ] This Queen room in Brighton is...",,,"$1,150/month|$1,150/month",Boston (02135)|Boston (02135),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/70/207053146.jpg,
Lovely Room In Jfk/Umass,3 rooms 3 rooms,Available Now,"Furnished or Unfurnished Full room in JFK/UMass 5 bedroom, 1 bathroom apartment. [ AVAILABLE STARTING Dec. 1, 2022 ] This Full room in JFK/UMass is...",,,"$975- $1,650/month|$975- $1,650/month",Boston (02125)|Boston (02125),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/70/207053160.jpg,
Large Room In Fort Hill,2 rooms 2 rooms,Available Now,"Furnished or Unfurnished Queen room in Fort Hill 5 bedroom, 2 bathroom apartment. [ AVAILABLE STARTING Dec. 1, 2022 ] This Queen room in Fort Hill is...",,,"$1,425- $1,500/month|$1,425- $1,500/month",Boston (02119)|Boston (02119),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/67/206737076.jpg,
Great Room In Jfk/Umass,2 rooms 2 rooms,Available Now,"Furnished or Unfurnished Queen room in JFK/UMass 4 bedroom, 1 bathroom apartment. [ AVAILABLE STARTING Dec. 1, 2022 ] This Queen room in JFK/UMass is...",,,"$1,200- $1,225/month|$1,200- $1,225/month",Boston (02125)|Boston (02125),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/70/207053142.jpg,
Bright Room In Brighton,1 room 1 room,Available Now,"Furnished or Unfurnished Full room in Brighton 4 bedroom, 2 bathroom apartment. [ AVAILABLE STARTING Dec. 1, 2022 ] This Full room in Brighton is...",,,"$1,175/month|$1,175/month",Boston (02135)|Boston (02135),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/67/206736666.jpg,
Gorgeous Room In Mattapan,3 rooms 3 rooms,Available Now,"Unfurnished Queen room in a 4 bedroom, 1 bathroom shared home in Mattapan. 
 About This Room This 124 sq. ft. room on Boston's Mattapan is a clean,...",,,$700- $975/month|$700- $975/month,Boston (02124)|Boston (02124),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/67/206736134.jpg,
Large Room In Roxbury,2 rooms 2 rooms,Available Now,"Furnished or Unfurnished Queen room in Roxbury 3 bedroom, 1 bathroom apartment. [ AVAILABLE STARTING Dec. 1, 2022 ] This Queen room in Roxbury is...",,,"$1,450- $1,575/month|$1,450- $1,575/month",Boston (02119)|Boston (02119),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/67/206736131.jpg,
Awesome Room In Hyde Square,1 room 1 room,Available Now,"Furnished or Unfurnished Queen room in Hyde Square 4 bedroom, 2 bathroom apartment. [ AVAILABLE STARTING Dec. 1, 2022 ] This Queen room in Hyde Square...",,,"$1,125/month|$1,125/month",Boston (02130)|Boston (02130),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/67/206736127.jpg,
Cool Room In Somerville,3 rooms 3 rooms,Available Now,"Black Friday is HERE! To get the deal, finalize your lease before November 30th with a move-in date in November. For leases of at least six months, we...",,,"$1,000- $1,300/month|$1,000- $1,300/month",Somerville (02145)|Somerville (02145),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/67/206736268.jpg,
Cool Room In Allston,2 rooms 2 rooms,Available Now,"Furnished or Unfurnished Queen room in Allston 4 bedroom, 1.5 bathroom apartment. [ AVAILABLE STARTING Dec. 1, 2022 ] This Queen room in Allston is...",,,"$1,100- $1,375/month|$1,100- $1,375/month",Boston (02134)|Boston (02134),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/67/206736532.jpg,
Excellent Room In Somerville,1 room 1 room,Available December 17,"Furnished or Unfurnished Queen room in Somerville 3 bedroom, 1 bathroom apartment. [ AVAILABLE STARTING Dec. 18, 2022 ] This Queen room in Somerville...",,,"$1,800/month|$1,800/month",East Somerville (02143)|East Somerville (02143),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/67/206736405.jpg,
Roomy Room In Allston,5 rooms 5 rooms,Available Now,"Unfurnished Full room in a 7 bedroom, 2 bathroom shared home in Allston. 
 About This Room This 76 sq. ft. room on Boston's Allston is a clean,...",,,"$1,150- $1,800/month|$1,150- $1,800/month",Boston (02134)|Boston (02134),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/67/206736533.jpg,
Roomy Room In Inman Square,3 rooms 3 rooms,Available December 12,"Furnished or Unfurnished Queen room in Inman Square 4 bedroom, 1 bathroom apartment. [ AVAILABLE STARTING Dec. 13, 2022 ] This Queen room in Inman...",,,"$1,400- $1,700/month|$1,400- $1,700/month",Cambridge (02139)|Cambridge (02139),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/67/206736132.jpg,
Awesome Room In Allston,4 rooms 4 rooms,Available Now,"Furnished or Unfurnished Queen room in Allston 5 bedroom, 2 bathroom apartment. [ AVAILABLE STARTING Dec. 1, 2022 ] This Queen room in Allston is...",,,"$1,275- $1,675/month|$1,275- $1,675/month",Boston (02134)|Boston (02134),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/67/206735851.jpg,
Magnificient Room In Roxbury,2 rooms 2 rooms,Available Now,"Furnished or Unfurnished Queen room in Roxbury 3 bedroom, 1 bathroom apartment. [ AVAILABLE STARTING Dec. 1, 2022 ] This Queen room in Roxbury is...",,,"$1,325- $1,425/month|$1,325- $1,425/month",Boston (02121)|Boston (02121),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/67/206736125.jpg,
Generous Room In Polish Triangle,1 room 1 room,Available Now,"Furnished or Unfurnished Full room in Polish Triangle 4 bedroom, 1 bathroom apartment. [ AVAILABLE STARTING Dec. 1, 2022 ] This Full room in Polish...",,,$925/month|$925/month,Boston (02125)|Boston (02125),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/67/206735997.jpg,
Newly Added Room In Allston,2 rooms 2 rooms,Available Now,"Furnished or Unfurnished Queen room in Allston 5 bedroom, 2 bathroom apartment. [ AVAILABLE STARTING Dec. 1, 2022 ] This Queen room in Allston is...",,,"$1,100- $1,675/month|$1,100- $1,675/month",Boston (02134)|Boston (02134),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/67/206734910.jpg,
Now Available - Room In Allston,4 rooms 4 rooms,Available Now,"Furnished or Unfurnished Queen room in Allston 4 bedroom, 1 bathroom apartment. [ AVAILABLE STARTING Dec. 1, 2022 ] This Queen room in Allston is...",,,"$1,150- $1,300/month|$1,150- $1,300/month",Boston (02134)|Boston (02134),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/67/206734907.jpg,
Spacious Room In Brookline,2 rooms 2 rooms,Available Now,"Furnished or Unfurnished Queen room in Brookline 3 bedroom, 1 bathroom apartment. [ AVAILABLE STARTING Dec. 1, 2022 ] This Queen room in Brookline is...",,,"$975- $1,750/month|$975- $1,750/month",Brookline (02445)|Brookline (02445),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/67/206735055.jpg,
Furnished 1 Bedroom In North End,1 room 1 room,Available Now,"Furnished or Unfurnished 1 bedroom, 1 bathroom apartment on the North End. [ AVAILABLE STARTING Dec. 1, 2022 ] This 1 bedroom apartment on the North...",,,"$2,800/month|$2,800/month",Boston (02113)|Boston (02113),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/67/206735052.jpg,
Generous Room In Allston,3 rooms 3 rooms,Available Now,"Furnished or Unfurnished Queen room in Allston 6 bedroom, 2 bathroom apartment. [ AVAILABLE STARTING Dec. 1, 2022 ] This Queen room in Allston is...",,,"$1,375- $1,725/month|$1,375- $1,725/month",Boston (02134)|Boston (02134),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/67/206735183.jpg,
Great Room In Savin Hill,2 rooms 2 rooms,Available Now,"Furnished or Unfurnished Queen room in Savin Hill 3 bedroom, 2.5 bathroom apartment. [ AVAILABLE STARTING Dec. 1, 2022 ] This Queen room in Savin Hill...",,,"$1,675- $1,725/month|$1,675- $1,725/month",Boston (02125)|Boston (02125),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/67/206735188.jpg,
Modern Room In Brighton,2 rooms 2 rooms,Available Now,"Furnished or Unfurnished Full room in Brighton 4 bedroom, 1.5 bathroom apartment. [ AVAILABLE STARTING Dec. 1, 2022 ] This Full room in Brighton is...",,,"$1,000- $1,400/month|$1,000- $1,400/month",Boston (02135)|Boston (02135),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/67/206735321.jpg,
Magnificient Room In North End,1 room 1 room,Available Now,"Furnished or Unfurnished Full room in North End 3 bedroom, 1 bathroom apartment. [ AVAILABLE STARTING Dec. 1, 2022 ] This Full room in North End is...",,,"$1,525/month|$1,525/month",Boston (02113)|Boston (02113),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/67/206735047.jpg,
Great Room In North End,3 rooms 3 rooms,Available December 17,"Furnished or Unfurnished Full room in North End 3 bedroom, 1 bathroom apartment. [ AVAILABLE STARTING Dec. 18, 2022 ] This Full room in North End is...",,,"$1,700- $1,825/month|$1,700- $1,825/month",Boston (02113)|Boston (02113),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/67/206735045.jpg,
Now Available - Room In Brighton,3 rooms 3 rooms,Available Now,"Furnished or Unfurnished Queen room in Brighton 4 bedroom, 2 bathroom apartment. [ AVAILABLE STARTING Dec. 1, 2022 ] This Queen room in Brighton is...",,,"$1,450- $1,875/month|$1,450- $1,875/month",Boston (02135)|Boston (02135),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/67/206735454.jpg,
Roomy Room In Brighton,3 rooms 3 rooms,Available Now,"Furnished or Unfurnished Queen room in Brighton 5 bedroom, 1.5 bathroom apartment. [ AVAILABLE STARTING Dec. 1, 2022 ] This Queen room in Brighton is...",,,"$1,075- $1,475/month|$1,075- $1,475/month",Boston (02135)|Boston (02135),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/67/206735322.jpg,
Airy Room In Brighton,3 rooms 3 rooms,Available Now,"Furnished or Unfurnished Queen room in Brighton 4 bedroom, 1 bathroom apartment. [ AVAILABLE STARTING Dec. 1, 2022 ] This Queen room in Brighton is...",,,"$1,250- $1,550/month|$1,250- $1,550/month",Boston (02135)|Boston (02135),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/67/206735587.jpg,
Bright Room In Allston,3 rooms 3 rooms,Available Now,"Furnished or Unfurnished Queen room in Allston 4 bedroom, 2 bathroom apartment. [ AVAILABLE STARTING Oct. 31, 2022 ] This Queen room in Allston is...",,,"$1,400- $1,850/month|$1,400- $1,850/month",Boston (02134)|Boston (02134),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/67/206735185.jpg,
Furnished 1 Bedroom In Brookline,1 room 1 room,Available December 26,"Furnished or Unfurnished 1 bedroom, 1 bathroom apartment on the Brookline. [ AVAILABLE STARTING Dec. 27, 2022 ] This 1 bedroom apartment on the...",,,"$2,775/month|$2,775/month",Brookline (02445)|Brookline (02445),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/67/206735187.jpg,
Charming Room In Brighton,3 rooms 3 rooms,Available Now,"Furnished or Unfurnished Queen room in Brighton 5 bedroom, 3 bathroom apartment. [ AVAILABLE STARTING Dec. 1, 2022 ] This Queen room in Brighton is...",,,"$1,100- $1,500/month|$1,100- $1,500/month",Boston (02135)|Boston (02135),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/67/206735590.jpg,
Cool Room In Savin Hill,1 room 1 room,Available Now,"Furnished or Unfurnished Queen room in Savin Hill 3 bedroom, 1 bathroom apartment. [ AVAILABLE STARTING Dec. 1, 2022 ] This Queen room in Savin Hill...",,,"$1,450/month|$1,450/month",Boston (02125)|Boston (02125),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/67/206734512.jpg,
Newly Added Room In Jfk/Umass,2 rooms 2 rooms,Available Now,"Furnished or Unfurnished Queen room in JFK/UMass 4 bedroom, 1 bathroom apartment. [ AVAILABLE STARTING Dec. 1, 2022 ] This Queen room in JFK/UMass is...",,,"$1,375- $1,650/month|$1,375- $1,650/month",Boston (02125)|Boston (02125),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/67/206734501.jpg,
Great Room In Savin Hill,1 room 1 room,Available Now,"Furnished or Unfurnished Queen room in Savin Hill 3 bedroom, 1 bathroom apartment. [ AVAILABLE STARTING Dec. 1, 2022 ] This Queen room in Savin Hill...",,,"$1,275/month|$1,275/month",Boston (02125)|Boston (02125),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/67/206734513.jpg,
Charming Room In Brighton,3 rooms 3 rooms,Available December 14 ,"Furnished or Unfurnished Queen room in Brighton 4 bedroom, 2 bathroom apartment. [ AVAILABLE STARTING Dec. 15, 2022 ] This Queen room in Brighton is...",,,"$1,650- $1,975/month|$1,650- $1,975/month",Boston (02135)|Boston (02135),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/67/206734777.jpg,
Modern Room In Allston,2 rooms 2 rooms,Available December 7,"Black Friday is HERE! To get the deal, finalize your lease before November 30th with a move-in date in November. For leases of at least six months, we...",,,"$1,650- $1,875/month|$1,650- $1,875/month",Boston (02134)|Boston (02134),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/67/206734913.jpg,
Sizeable Room In Allston,1 room 1 room,Available December 8 ,"Furnished or Unfurnished Full room in Allston 4 bedroom, 2 bathroom apartment. [ AVAILABLE STARTING Dec. 9, 2022 ] This Full room in Allston is...",,,"$1,550/month|$1,550/month",Boston (02134)|Boston (02134),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/67/206734782.jpg,
Excellent Room In South Boston,4 rooms 4 rooms,Available Now,"Sign a lease for 5 months or longer that starts before October 22nd, 2022 and you'll get a chance To win 3 months of FREE rent! Furnished or...",,,"$1,450- $2,225/month|$1,450- $2,225/month",Boston (02127)|Boston (02127),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/67/206734504.jpg,
Large Room In South Boston,2 rooms 2 rooms,Available Now,Sign a lease that starts in November before November 15th for at least 6 months & you'll get a half of month for free. Want some more? You'll get a...,,,"$1,300- $1,750/month|$1,300- $1,750/month",Boston (02125)|Boston (02125),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/67/206734240.jpg,
Excellent Room In Fenway,1 room 1 room,Available  December 9 ,"Furnished or Unfurnished Queen room in Fenway 3 bedroom, 1 bathroom apartment. [ AVAILABLE STARTING Dec. 10, 2022 ] This Queen room in Fenway is...",,,"$1,700/month|$1,700/month",Boston (02215)|Boston (02215),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/67/206734238.jpg,
Excellent Room In Allston,2 rooms 2 rooms,Available December 19,"Furnished or Unfurnished Full room in Allston 5 bedroom, 2 bathroom apartment. [ AVAILABLE STARTING Dec. 20, 2022 ] This Full room in Allston is...",,,"$1,725- $1,750/month|$1,725- $1,750/month",Boston (02134)|Boston (02134),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/67/206734245.jpg,
Spacious Room In East Boston,4 rooms 4 rooms,Available Now,"Furnished or Unfurnished Full room in East Boston 4 bedroom, 1 bathroom apartment. [ AVAILABLE STARTING Dec. 2, 2022 ] This Full room in East Boston...",,,"$1,225- $1,325/month|$1,225- $1,325/month",Boston (02128)|Boston (02128),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/70/207081695.jpg,
Unfurnished 2 Bedroom In Somerville,2 bed apartment 2 bed apartment,Available Now,"Unfurnished or Furnished 2 bedrooms, 1.0 bath apartment in Somerville. This 2 bedrooms, 1.0 bath apartment on the Somerville is available on a...",,,"$3,025 /month|$3,025 /month",Somerville (02145)|Somerville (02145),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/70/207079734.jpg,
Unfurnished 4 Bedroom In Somerville,4 bed apartment 4 bed apartment,Available Now,"Unfurnished or Furnished 4 bedrooms, 2.0 bath apartment in Somerville. This 4 bedrooms, 2.0 bath apartment on the Somerville is available on a...",,,"$4,550 /month|$4,550 /month",Somerville (02145)|Somerville (02145),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/70/207056200.jpg,
Unfurnished 4 Bedroom In Somerville,4 bed apartment 4 bed apartment,Available Now,"Unfurnished or Furnished 4 bedrooms, 1.5 bath apartment in Somerville. This 4 bedrooms, 1.5 bath apartment on the Somerville is available on a...",,,"$5,025 /month|$5,025 /month",Somerville (02145)|Somerville (02145),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/70/207065311.jpg,
Unfurnished 4 Bedroom In Somerville,4 bed apartment 4 bed apartment,Available Now,"Unfurnished or Furnished 4 bedrooms, 1.0 bath apartment in Somerville. This 4 bedrooms, 1.0 bath apartment on the Somerville is available on a...",,,"$4,525 /month|$4,525 /month",Somerville (02144)|Somerville (02144),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/70/207000571.jpg,
Unfurnished 3 Bedroom In Dorchester - Fields Corne,3 bed apartment 3 bed apartment,Available Now,"Unfurnished or Furnished 3 bedrooms, 1.5 bath apartment in Dorchester - Fields Corner West. This 3 bedrooms, 1.5 bath apartment on the Dorchester -...",,,"$3,150 /month|$3,150 /month",Boston (02121)|Boston (02121),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/70/207000575.jpg,
Unfurnished 3 Bedroom In Brighton,3 bed apartment 3 bed apartment,Available Now,"Unfurnished or Furnished 3 bedrooms, 1.0 bath apartment in Brighton. This 3 bedrooms, 1.0 bath apartment on the Brighton is available on a flexible...",,,"$4,075 /month|$4,075 /month",Boston (02135)|Boston (02135),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/70/207034889.jpg,
Unfurnished 5 Bedroom In Brighton,5 bed apartment 5 bed apartment,Available Now,"Unfurnished or Furnished 5 bedrooms, 2.0 bath apartment in Brighton. This 5 bedrooms, 2.0 bath apartment on the Brighton is available on a flexible...",,,"$5,150 /month|$5,150 /month",Boston (02135)|Boston (02135),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/69/206968868.jpg,
#9767 | Sumner Street,1 room 1 room,Available Now,"A beautiful apartment located right in Dorchester! Perfect for a group of friends or someone wanting extra space. 
 Features: 
   Two level...",,,"$1,245/month|$1,245/month",Boston (02125)|Boston (02125),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/70/207068244.jpg,
#5408 | Hillside Street,1 room 1 room,Available Now,"With a cool, modern kitchen and in-unit laundry, this apartment is a great choice for anyone looking to make the move to Mission Hill, or needs...",,,"$1,445/month|$1,445/month",Boston (02120)|Boston (02120),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/70/207074611.jpg,
#5070 | Buttonwood Street,1 room 1 room,Available Now,"With a modern kitchen and open plan living room, this Dorchester apartment is a great find! 
 Features: 
   Stainless steel kitchen appliances and...",,,"$1,245/month|$1,245/month",Boston (02125)|Boston (02125),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/70/207076426.jpg,
#5646 | Tremont Street,1 room 1 room,Available Now,"Perfect for anyone looking to make Mission Hill their home, this apartment is close to great restaurants, shopping and museums 
 Features: 
  ...",,,"$1,295/month|$1,295/month",Boston (02120)|Boston (02120),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/69/206942650.jpg,
#6375 | Harvard Street,1 room 1 room,Available Now,"Blocks from Central Square with an easy walk to Harvard or MIT, and a super quick commute into the city. 
 Features: 
   Big kitchen with nice...",,,"$1,295/month|$1,295/month",Cambridge (02139)|Cambridge (02139),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/69/206944454.jpg,
#2557 | Maryland Street,2 rooms 2 rooms,Available Now,"Quiet apartment in a convenient Dorchester location! 
 Features: 
 Hardwood floors 
 Luminous & spacious bedrooms 
  
  
  
  
  
  
 Location:...",,,"$1,170/month|$1,170/month",Boston (02125)|Boston (02125),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/69/206944455.jpg,
#3318 | West Third Street,1 room 1 room,Available Now,"Incredibly spacious multi-level apartment, in an awesome Southie location! 
 Features: 
 Beautiful hardwood floors. 
 Luminous & ample rooms. 
...",,,"$1,695/month|$1,695/month",Boston (02127)|Boston (02127),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/69/206952268.jpg,
#2118 | East Cottage Street,1 room 1 room,Available Now,"Great value for this convenient Dorchester apartment! 
 Features: 
   Large living room with bay windows 
   Nice kitchen with granite countertops...",,,"$1,195/month|$1,195/month",Boston (02125)|Boston (02125),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/69/206963552.jpg,
#2251 | Austin Street,1 room 1 room,Available Now,"This 5 bed, 2.5 bath unit is located in historic Charlestown and is a short walk to the Orange Line 
 Features: 
   Bedroom E is a private studio...",,,"$1,170/month|$1,170/month",Boston (02129)|Boston (02129),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/69/206963549.jpg,
#3692 | Elder Street,2 rooms 2 rooms,Available Now,"Convenient, affordable Dorchester location! 
 Features: 
 Hardwood floors throughout the apartment 
 Luminous rooms 
 In-unit laundry 
  
  
  
 ...",,,"$1,020- $1,245/month|$1,020- $1,245/month",Boston (02125)|Boston (02125),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/69/206963550.jpg,
#7679 | Mount Hood Road,2 rooms 2 rooms,Available Now,"Small, and extremely affordable room available just minutes away from Boston College and the Chestnut Hill Reservoir 
 Features: 
   Massive...",,,"$945- $1,045/month|$945- $1,045/month",Boston (02135)|Boston (02135),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/69/206963554.jpg,
#7702 | Boston Street,2 rooms 2 rooms,Available Now,"Spacious apartment with fantastic access, just blocks away from Dorchester Brewing Co, and other fantastic Dorchester spots! 
 Features: 
  ...",,,"$995- $1,045/month|$995- $1,045/month",Boston (02125)|Boston (02125),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/69/206963551.jpg,
#5211 | 7th Street,1 room 1 room,Available Now,"3 Bed 1 Bath with a short walk to Lechmere. Relax on the private balcony and enjoy the weather! 
 Features: 
   Cozy private deck 
   Modern...",,,"$1,195/month|$1,195/month",Cambridge (02141)|Cambridge (02141),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/69/206984982.jpg,
#3782 | Marion Street,1 room 1 room,Available Now,"4 Bed 2 Bath Inman Sq. unit with a ton of character! Private balcony, in-unit laundry surrounded by restaurants. 
 Features: 
   Private back deck...",,,"$1,195/month|$1,195/month",East Somerville (02143)|East Somerville (02143),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/69/206984984.jpg,
#6142 | Washington Terrace,1 room 1 room,Available Now,"Extremely high quality with an A+ view of the Boston skyline! Full of character and right in Union Square. 
 Features: 
   A+ view of the Boston...",,,"$1,345/month|$1,345/month",East Somerville (02143)|East Somerville (02143),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/69/206984983.jpg,
#5159 | Elko Street,1 room 1 room,Available Now,"A cozy basement unit, with ample sunlight. Boston College, St. Elizabeth’s, and Green Line access! 
 Features: 
   Hardwood floors 
   Vibrant...",,,"$1,245/month|$1,245/month",Boston (02135)|Boston (02135),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/69/206984981.jpg,
#1767 | Hammond Street,1 room 1 room,Available Now,"This South End apartment features a great open-plan living room and kitchen, giving you lots of extra space while still being in the city! 
...",,,"$1,495/month|$1,495/month",Boston (02120)|Boston (02120),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/70/207009648.jpg,
#6336 | West 8th Street,5 rooms 5 rooms,Available Now,"This newly constructed, spacious multi-level apartment features an awesome South Boston location! 
 Features: 
 Open concept, modern feel kitchen...",,,"$250- $2,025/month|$250- $2,025/month",Boston (02127)|Boston (02127),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/70/207030988.jpg,
#9128 | Washington Street,5 rooms 5 rooms,Available Now,"Located in Newton, this unit has everything you need at a great price, minutes away from the Worcester line! 
 Features: 
 Ample & luminous rooms...",,,"$920- $1,095/month|$920- $1,095/month",Newton (02460)|Newton (02460),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/70/207034822.jpg,
#6236 | Boylston Street,1 room 1 room,Available Now,"Located in Brookline Village on the fastest Green Line train (the D line of course)! Stress free 5 minute walk from the T. 
 Features: 
  ...",,,"$1,195/month|$1,195/month",Brookline (02445)|Brookline (02445),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/70/207034823.jpg,
#1316 | Windermere Road,3 rooms 3 rooms,Available Now,"Within walking distance to both the red line and South Bay Center, this is an ideal spot in Dorchester! Not to mention an easy walk to both Savin...",,,$695- $895/month|$695- $895/month,Boston (02125)|Boston (02125),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/70/207045962.jpg,
#8087 | Memorial Drive,5 rooms 5 rooms,Available Now,Perfect for any Harvard student or someone just looking for an easy commute downtown! This huge apartment gives you tons of space while being in on...,,,"$1,395- $1,595/month|$1,395- $1,595/month",Cambridge (02138)|Cambridge (02138),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/70/207048441.jpg,
#9860 | Fairmont Street,5 rooms 5 rooms,Available Now,"Located in the heart of Cambridge, this unit offers everything you may want in a home and more! (Currently undergoing renovations) 
 Features: 
...",,,"$1,100/month|$1,100/month",Cambridge (02139)|Cambridge (02139),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/70/207048439.jpg,
#9041 | Glenville Avenue,3 rooms 3 rooms,Available Now,"A great bang for buck apartment in Allston giving you access to BU, BC, and downtown Boston at your fingertips. 
 Features: 
   Hardwood floors 
 ...",,,$895- $995/month|$895- $995/month,Boston (02134)|Boston (02134),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/70/207048440.jpg,
#4349 | Columbia Street,3 rooms 3 rooms,Available Now,"Beautiful, spacious Central Square apartment just blocks away from spots like Lord Hobo and Lamplighter! 
 Features: 
   Very large kitchen 
  ...",,,"$1,195- $1,245/month|$1,195- $1,245/month",Cambridge (02139)|Cambridge (02139),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/68/206896158.jpg,
#6564 | Roseclair Street,3 rooms 3 rooms,Available Now,"With it's beautiful, big windows and private deck, this apartment allows for a ton of great Dorchester views! 
 Features: 
   Large kitchen with...",,,"$895- $1,095/month|$895- $1,095/month",Boston (02125)|Boston (02125),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/68/206896155.jpg,
#3924 | Prospect Street,2 rooms 2 rooms,Available Now,"It's probably the best time to move to Union Square, and this apartment gets you right in the middle of the action! Just minutes away from the new...",,,"$995- $1,045/month|$995- $1,045/month",East Somerville (02143)|East Somerville (02143),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/68/206896171.jpg,
#8324 | Princeton Street,2 rooms 2 rooms,Available Now,"This beautiful 6 bedroom unit is everything you are looking for in East Boston! 
 Features: 
 Beautiful hardwood floors. 
 Luminous & spacious...",,,$945- $995/month|$945- $995/month,Boston (02128)|Boston (02128),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/68/206896154.jpg,
#5060 | Western Avenue,2 rooms 2 rooms,Available Now,"Furnished apartment in an awesome Cambridge location! 
 Features: 
   Kitchen alcove which allows for a huge living room 
   Gorgeous real...",,,"$1,395- $1,645/month|$1,395- $1,645/month",Cambridge (02139)|Cambridge (02139),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/68/206896167.jpg,
#9189 | Sudan Street,1 room 1 room,Available Now,"With easy access to the red line and walking distance from Carson beach, this is a great Dorchester apartment! 
 Features: 
   Modern kitchen with...",,,"$1,245/month|$1,245/month",Boston (02125)|Boston (02125),https://photos.spareroom.com/images/flatshare/listings/cw100h100/20/68/206896161.jpg,
